 0.004, -0.15628, -0.14445, 0.98930, -0.01364, 0.00169, -0.00030, -4.08956, 0.31219, -0.32428
 0.014, -0.15574, -0.14445, 0.98962, 0.05467, -0.00146, 0.03685, -4.33672, 0.29971, -0.52424
 0.024, -0.15610, -0.14435, 0.98978, -0.01233, 0.00334, 0.02916, -4.35969, 0.38776, -0.40460
 0.034, -0.15592, -0.14435, 0.98994, 0.01573, 0.00239, 0.01472, -4.33720, 0.40040, -0.48491
 0.044, -0.15601, -0.14430, 0.98994, -0.00326, 0.00471, 0.00541, -4.24705, 0.45084, -0.48491
 0.054, -0.15574, -0.14425, 0.98994, 0.01630, 0.00522, -0.00447, -4.29212, 0.32468, -0.48491
 0.064, -0.15565, -0.14410, 0.98994, 0.00781, 0.01477, -0.01072, -4.44982, 0.23636, -0.68567
 0.074, -0.15547, -0.14400, 0.98994, 0.01710, 0.01773, -0.00230, -4.35971, 0.28683, -0.48491
 0.084, -0.15520, -0.14384, 0.99010, 0.01835, 0.01796, 0.01133, -4.53993, 0.18590, -0.52507
 0.094, -0.15502, -0.14364, 0.99010, 0.00776, 0.02429, 0.01524, -4.49490, 0.18588, -0.48491
 0.104, -0.15466, -0.14354, 0.99010, 0.02826, 0.01621, 0.00024, -4.65259, 0.09758, -0.36451
 0.114, -0.15439, -0.14339, 0.99010, 0.02650, 0.01300, -0.00560, -4.81049, 0.11018, -0.52507
 0.124, -0.15412, -0.14314, 0.99010, 0.01426, 0.02095, -0.00648, -4.72022, 0.05971, -0.36456
 0.134, -0.15367, -0.14299, 0.99026, 0.04038, 0.01342, 0.00482, -4.87802, -0.05390, -0.56522
 0.144, -0.15322, -0.14283, 0.99026, 0.04998, 0.01407, 0.01047, -4.96802, -0.07906, -0.52507
 0.154, -0.15286, -0.14263, 0.99010, 0.04580, 0.01320, -0.01338, -5.08082, -0.14223, -0.56522
 0.164, -0.15241, -0.14238, 0.99010, 0.05134, 0.02275, -0.01489, -5.28347, -0.12956, -0.72580
 0.174, -0.15205, -0.14228, 0.99026, 0.04232, 0.01519, 0.02112, -5.48636, -0.21790, -0.68573
 0.184, -0.15178, -0.14213, 0.98994, 0.03013, 0.01243, -0.02518, -5.26099, -0.31874, -0.52507
 0.194, -0.15141, -0.14193, 0.99026, 0.03480, 0.01854, 0.01643, -5.55401, -0.35674, -0.52507
 0.204, -0.15124, -0.14183, 0.99026, 0.01741, 0.01308, 0.01858, -5.53136, -0.34406, -0.52507
 0.214, -0.15096, -0.14167, 0.99026, 0.02562, 0.01506, 0.00811, -5.57649, -0.36933, -0.36435
 0.224, -0.15078, -0.14157, 0.99026, 0.02135, 0.00950, 0.00399, -5.41872, -0.40716, -0.56522
 0.234, -0.15060, -0.14147, 0.99026, 0.01322, 0.00428, 0.00614, -5.48626, -0.44504, -0.72594
 0.244, -0.15060, -0.14137, 0.99010, -0.00012, 0.00648, -0.00714, -5.50891, -0.45759, -0.52507
 0.254, -0.15033, -0.14132, 0.99026, 0.02061, 0.00712, 0.00468, -5.73425, -0.35664, -0.56522
 0.264, -0.15051, -0.14132, 0.99026, -0.00694, 0.00400, 0.00101, -5.62151, -0.41978, -0.56522
 0.274, -0.15042, -0.14127, 0.99026, 0.00430, 0.00551, -0.00390, -5.53128, -0.36925, -0.76617
 0.284, -0.15033, -0.14132, 0.99026, 0.01475, -0.00253, -0.00084, -5.44141, -0.41978, -0.56522
